City,Country,Latitude,Longitude,Monthly Salary,Other Monthly Income,Total Monthly Income,Meals Out,Groceries,Clothing,Transportation,Household,Internet,Leisure,Sports,Rent,Other Monthly Expenses,Total Monthly Expenses,Monthly Savings,Monthly Savings over Income,Montly Expenses over Income,Montlhy Rent over Income
Salzburg,Austria,47.8,13.05,2275.03,0.0,2275.03,114.89,264.72,27.95,38.94,261.0,29.75,60.38,69.76,743.13,0.0,1621.77,653.26,28.71,71.29,32.66
Santander,Spain,43.46,-3.81,1699.84,0.0,1699.84,85.66,197.96,19.63,33.58,141.35,35.29,35.49,54.29,421.86,0.0,1040.66,659.18,38.78,61.22,24.82
Sibiu,Romania,45.8,24.15,581.26,0.0,581.26,53.39,136.8,17.64,11.86,114.52,7.71,27.53,58.54,213.09,0.0,652.08,0.0,0.0,112.18,36.66
Sliema,Malta,35.91,14.5,1302.96,0.0,1302.96,131.45,260.32,23.95,25.31,104.16,34.07,58.38,101.98,699.4,0.0,1460.47,0.0,0.0,112.09,53.68
Sofia,Bulgaria,42.7,23.32,929.37,0.0,929.37,74.07,191.76,20.32,24.69,123.98,11.83,35.8,54.17,311.25,0.0,859.07,70.3,7.56,92.44,33.49
Split,Croatia,43.51,16.44,884.66,0.0,884.66,72.21,190.36,20.66,37.4,106.54,23.65,38.48,53.2,333.89,0.0,890.49,0.0,0.0,100.66,37.74
Stockholm,Sweden,59.33,18.07,2791.19,0.0,2791.19,118.09,293.88,26.57,86.79,95.11,31.48,89.44,103.37,942.22,0.0,1806.75,984.44,35.27,64.73,33.76
Stuttgart,Germany,48.78,9.18,3152.25,0.0,3152.25,105.13,230.96,22.78,70.29,221.31,32.55,62.26,80.44,797.09,0.0,1633.86,1518.39,48.17,51.83,25.29
Suceava,Romania,47.53,25.83,616.99,0.0,616.99,44.33,114.72,15.4,15.83,77.15,8.69,25.93,35.6,197.78,0.0,543.33,73.66,11.94,88.06,32.06
Szczecin,Poland,53.43,14.59,889.27,0.0,889.27,57.23,151.56,18.2,20.82,145.06,12.2,26.51,62.13,445.07,0.0,947.98,0.0,0.0,106.6,50.05
Szeged,Hungary,46.25,20.15,662.9,0.0,662.9,49.65,158.2,15.64,19.0,128.04,10.85,20.23,48.6,203.89,0.0,664.0,0.0,0.0,100.17,30.76
Szombathely,Hungary,47.23,16.62,726.86,0.0,726.86,63.66,138.04,17.91,22.57,106.41,11.88,22.94,37.18,217.74,0.0,646.28,80.58,11.09,88.91,29.96
Tallinn,Estonia,59.44,24.75,1315.32,0.0,1315.32,109.05,212.88,24.96,29.2,282.62,25.16,66.22,114.45,468.91,0.0,1350.3,0.0,0.0,102.66,35.65
Tampere,Finland,61.5,23.76,2356.06,0.0,2356.06,126.56,246.76,26.7,54.52,88.14,21.06,86.64,63.68,585.74,0.0,1327.0,1029.06,43.68,56.32,24.86
Tarragona,Spain,41.12,1.25,1905.4,0.0,1905.4,84.21,195.24,19.25,41.37,170.47,42.18,32.63,64.73,486.76,0.0,1149.64,755.76,39.66,60.34,25.55
Tartu,Estonia,58.38,26.72,1173.97,0.0,1173.97,97.37,217.36,23.3,21.91,200.18,25.48,54.04,96.01,346.82,0.0,1098.18,75.8,6.46,93.54,29.54
Tilburg,Netherlands,51.59,5.07,2036.29,0.0,2036.29,119.73,267.56,23.38,121.69,229.39,40.97,59.9,57.0,865.74,0.0,1799.31,236.98,11.64,88.36,42.52
Toulouse,France,43.6,1.44,2562.32,0.0,2562.32,121.69,295.36,25.5,52.57,176.47,30.4,73.99,53.85,514.75,0.0,1365.23,1197.09,46.72,53.28,20.09
Trento,Italy,46.1,11.13,1603.08,0.0,1603.08,117.8,274.08,24.48,31.54,153.47,30.3,66.22,100.08,511.1,0.0,1322.97,280.11,17.47,82.53,31.88
Treviso,Italy,45.81,12.21,1476.11,0.0,1476.11,126.58,242.4,24.86,35.53,175.24,29.8,62.52,83.32,494.87,0.0,1290.42,185.69,12.58,87.42,33.53
Trieste,Italy,45.65,13.78,1474.47,0.0,1474.47,126.58,251.8,28.88,34.8,193.31,30.8,60.83,98.99,513.53,0.0,1357.12,117.35,7.96,92.04,34.83
Turin,Italy,45.07,7.68,1497.98,0.0,1497.98,105.65,251.04,21.5,36.99,176.31,27.25,61.32,72.79,405.86,0.0,1174.76,323.22,21.58,78.42,27.09
Turku,Finland,60.45,22.27,2466.27,0.0,2466.27,146.03,279.28,24.41,53.55,139.58,19.04,93.99,76.14,552.74,0.0,1412.46,1053.81,42.73,57.27,22.41
Udine,Italy,46.06,13.24,1457.97,0.0,1457.97,108.06,205.04,21.24,31.15,147.18,28.2,56.0,76.19,331.0,0.0,1017.91,440.06,30.18,69.82,22.7
Ulm,Germany,48.4,9.99,3030.1,0.0,3030.1,100.27,211.44,25.42,60.36,230.4,32.61,52.36,70.75,754.48,0.0,1547.89,1482.21,48.92,51.08,24.9
Uppsala,Sweden,59.86,17.64,2307.18,0.0,2307.18,114.53,258.64,24.39,86.79,91.45,32.58,97.29,84.4,531.22,0.0,1343.89,963.29,41.75,58.25,23.02
Utrecht,Netherlands,52.09,5.12,3048.37,0.0,3048.37,124.61,276.84,25.86,87.62,237.96,41.61,71.74,83.56,977.82,0.0,1943.77,1104.6,36.24,63.76,32.08
Valencia,Spain,39.47,-0.38,1439.03,0.0,1439.03,90.53,212.32,20.59,29.2,130.74,31.59,43.8,53.53,552.29,0.0,1176.49,262.54,18.24,81.76,38.38
Valletta,Malta,35.9,14.51,1094.6,0.0,1094.6,148.0,268.88,37.72,25.31,146.89,49.76,63.27,120.87,772.74,0.0,1657.0,0.0,0.0,151.38,70.6
Varna,Bulgaria,43.21,27.86,682.46,0.0,682.46,54.29,158.04,17.79,19.74,106.89,11.59,32.24,49.73,221.31,0.0,681.07,1.39,0.2,99.8,32.43
Vejle,Denmark,55.71,9.53,3236.9,0.0,3236.9,141.46,272.64,30.7,52.38,213.75,33.81,86.75,134.22,611.15,0.0,1596.3,1640.6,50.68,49.32,18.88
Venice,Italy,45.44,12.33,1508.97,0.0,1508.97,126.58,258.2,29.02,36.02,261.48,28.71,69.61,93.79,584.12,0.0,1502.63,6.34,0.42,99.58,38.71
Verona,Italy,45.44,10.99,1480.64,0.0,1480.64,109.55,246.64,25.64,36.02,158.99,26.56,60.68,83.98,502.99,0.0,1264.65,215.99,14.59,85.41,33.97
Vicenza,Italy,45.63,11.41,1533.31,0.0,1533.31,109.05,244.92,24.3,38.94,233.58,27.25,62.86,96.55,395.25,0.0,1252.55,280.76,18.31,81.69,25.78
Vienna,Austria,48.21,16.37,2527.18,0.0,2527.18,116.85,258.68,27.25,32.12,200.06,31.55,64.73,67.14,642.65,0.0,1452.98,1074.2,42.51,57.49,25.43
Vigo,Spain,42.24,-8.72,1278.57,0.0,1278.57,81.28,161.48,18.33,43.81,104.71,37.72,39.28,46.08,405.64,0.0,948.53,330.04,25.81,74.19,31.73
Vila Nova de Gaia,Portugal,41.13,-8.61,985.7,0.0,985.7,58.41,182.8,21.96,38.94,111.66,41.1,31.92,71.56,438.09,0.0,1009.14,0.0,0.0,102.38,44.44
Vilnius,Lithuania,54.69,25.28,1179.03,0.0,1179.03,85.68,194.16,22.99,28.72,189.56,13.44,54.48,78.66,493.13,0.0,1175.02,4.01,0.34,99.66,41.83
Warsaw,Poland,52.23,21.07,1188.29,0.0,1188.29,70.8,166.2,21.35,22.9,183.84,12.43,41.7,58.84,569.16,0.0,1158.22,30.07,2.53,97.47,47.9
Waterford,Ireland,52.26,-7.11,2504.16,0.0,2504.16,156.75,241.28,27.5,63.28,190.6,52.73,69.38,81.12,923.02,0.0,1828.66,675.5,26.98,73.02,36.86
Xanthi,Greece,41.14,24.89,765.94,0.0,765.94,81.76,181.44,18.44,14.61,181.47,34.56,56.98,63.61,227.15,0.0,873.32,0.0,0.0,114.02,29.66
Zadar,Croatia,44.12,15.24,724.82,0.0,724.82,95.45,220.68,21.71,38.69,188.8,26.65,37.4,59.32,329.79,0.0,1031.09,0.0,0.0,142.25,45.5
